time;message;level
2017-02-18 23:35:56.4315;Исключение из не UI потока Ссылка на объект не указывает на экземпляр объекта.;Fatal
2017-02-18 23:35:57.8326;Исключение из не UI потока Ссылка на объект не указывает на экземпляр объекта.;Fatal
2017-02-18 23:36:04.3769;Исключение из не UI потока Ссылка на объект не указывает на экземпляр объекта.;Fatal
2017-02-18 23:36:08.9472;Исключение из не UI потока Ссылка на объект не указывает на экземпляр объекта.;Fatal
2017-02-18 23:36:09.4472;Исключение из не UI потока Ссылка на объект не указывает на экземпляр объекта.;Fatal
2017-02-18 23:36:13.0514;Исключение из не UI потока Ссылка на объект не указывает на экземпляр объекта.;Fatal
2017-02-18 23:36:13.5515;Исключение из не UI потока Ссылка на объект не указывает на экземпляр объекта.;Fatal
